,CCAA,país,superficieTotal,superficieTotal HA,Total Forestal,Total desarbolada,Total arbolado (G+H+I+K+L),Estado/CCAA,Local,Privado,% total privado,Vecinales,Descon,Incendios 2004,Hectáreas2004,Incendios 2005,Hectáreas2005,Incendios 2006,Hectáreas2006,Incendios 2007,Hectáreas2007,Incendios 2008,Hectáreas2008,Incendios 2009,Hectáreas2009,Incendios 2010,Hectáreas2010,Incendios 2011,Hectáreas2011,Incendios 2012,Hectáreas2012,Incendios 2013,Hectáreas2013,Incendios 2004 - 2013,Hectáreas 2004 - 2013
0,Andalucía,España,87599.0,8759900.0,4488995.0,1533319.0,2955676.0,463432.0,359416.0,851357.0,28.8,496.06,1164208.0,1055.0,51273.93,1397.0,14380.03,881.0,5471.48,819.0,6269.75,776.0,2895.02,1016.0,13555.84,553.0,1492.66,753.0,3053.35,852.0,12833.39,785,2880.78,8887.0,114.106
1,Aragón,España,47720.0,4772000.0,2631234.0,1057246.0,1573988.0,77211.0,657398.0,843381.0,53.58,0.0,0.0,421.0,1234.9,711.0,2116.39,411.0,2153.68,415.0,1860.38,351.0,2489.34,443.0,19648.41,343.0,1144.04,442.0,900.92,541.0,8244.51,217,347.72,4295.0,40.14
2,Asturias,España,10604.0,1060400.0,769124.0,324798.0,444326.0,8434.0,157261.0,281882.0,63.44,3540.0,0.0,1905.0,4732.06,2237.0,8717.87,1941.0,9543.59,1083.0,2690.31,,6685.62,2077.0,10595.72,1862.0,7995.63,1793.0,13991.71,2246.0,16616.57,1079,3331.77,17964.0,804.901
3,Comunidad Valenciana,España,23255.0,2325500.0,1277138.0,525075.0,752063.0,63292.0,186599.0,280407.0,37.29,0.0,224161.0,487.0,1102.1,686.0,3285.12,472.0,3474.55,375.0,8224.69,326.0,730.35,427.0,2932.29,328.0,5649.5,419.0,2436.38,467.0,56931.3,335,1442.82,4322.0,86.209
4,Canarias,España,7447.0,744700.0,,449012.0,134283.0,14121.0,53323.0,66361.0,49.42,286.47,0.0,137.0,328.64,145.0,2143.89,123.0,1612.65,139.0,35758.62,133.0,426.05,122.0,3613.85,111.0,198.68,99.0,59.17,135.0,12399.33,102,219.93,1246.0,56.761
5,Cantbria,España,5321.0,532100.0,148659.0,148659.0,,113.0,139461.0,74682.0,,0.0,0.0,178.0,1701.52,,4872.61,418.0,4045.43,296.0,3452.83,443.0,7804.67,797.0,6700.3,764.0,7921.54,775.0,9670.67,800.0,14037.65,449,4925.11,,
6,Castilla y León,España,94224.0,9422400.0,4867844.0,1894843.0,2973001.0,63923.0,1101903.0,1816492.0,61.1,0.0,0.0,1942.0,15786.03,2986.0,46406.68,1697.0,15714.84,1511.0,9760.29,2094.0,16059.66,2699.0,31057.62,1173.0,8901.41,,17621.69,2603.0,,1254,12434.28,20153.0,217.3
7,Castilla la Mancha,Espaa,79461.0,7946100.0,,898691.0,2726174.0,169944.0,549712.0,2019941.0,74.09,0.0,0.0,1364.0,5765.2,1137.0,22708.02,707.0,4617.85,694.0,2026.46,710.0,1974.86,899.0,8210.2,465.0,607.25,745.0,2181.16,1141.0,11770.79,824,4907.56,8686.0,64.769
8,Cataluña,España,32113.0,3211300.0,5942661.0,324783.0,1617878.0,67923.0,230499.0,1327791.0,82.07,0.0,0.0,565.0,1068.18,894.0,5495.07,629.0,3404.68,579.0,1612.25,421.0,577.4,747.0,3452.97,475.0,618.88,586.0,1097.57,748.0,15026.91,602,1060.16,6246.0,33.414
9,Extremadura,España,41634.0,4163400.0,2725196.0,832165.0,1893031.0,29309.0,121899.0,1770043.0,93.5,0.0,0.0,1623.0,16141.45,1164.0,17582.22,943.0,7111.95,748.0,6032.6,874.0,2439.44,956.0,6082.61,550.0,2244.77,906.0,4453.32,1072.0,3482.44,700,5547.74,9536.0,71.119
10,Galicia,España,29575.0,2957500.0,,666008.0,1371406.0,20045.0,2991.0,1069493.0,77.99,312921.0,0.0,10618.0,32098.45,11973.0,57452.22,6996.0,95947.38,3157.0,7051.06,2546.0,6335.84,3970.0,10741.31,3852.0,14807.34,6342.0,42390.19,3794.0,15598.17,3581,19775.88,56829.0,302.198
11,Islas Baleares,España,4992.0,499200.0,217490.0,44345.0,173145.0,3465.0,3581.0,179331.0,103.57,0.0,0.0,172.0,139.35,141.0,347.39,124.0,165.27,113.0,123.9,121.0,,117.0,109.58,100.0,605.84,158.0,2431.4,147.0,404.66,90,2845.45,1283.0,7.218
12,La Rioja,Espaa,5045.0,504500.0,301928.0,135844.0,166084.0,17044.0,121188.0,31320.0,18.86,0.0,0.0,47.0,35.69,105.0,174.09,73.0,49.87,93.0,69.49,110.0,71.56,112.0,336.68,114.0,281.84,82.0,62.64,105.0,109.03,31,27.65,872.0,1.219
13,Madrid,España,8028.0,802800.0,424253.0,163949.0,260304.0,36291.0,45919.0,187876.0,72.18,0.0,0.0,379.0,1765.23,427.0,825.39,271.0,1094.95,230.0,449.75,223.0,338.94,327.0,324.64,179.0,101.46,294.0,385.0,399.0,2381.09,286,1333.54,,
14,Mrcia,España,11314.0,1131400.0,208804.0,208804.0,,53904.0,61611.0,200777.0,,0.0,0.0,113.0,437.48,138.0,257.51,90.0,71.37,113.0,160.18,109.0,162.28,124.0,112.55,139.0,763.49,130.0,476.43,127.0,1479.87,112,83.35,1195.0,4.005
